ปีงบประมาณ,ประเภทงบประมาณ,แผนงาน,ผลผลิต/โครงการ,กิจกรรม,ประเภทรายจ่าย,รายการ 0,รายการ 1,รายการ 2,รายการ 3,รายการ 4,รายการ 5,กระทรวง,กรม,กอง,กลุ่มงาน,จังหวัด,ส่วนราชการ,กลุ่มจังหวัด,เขตจังหวัด,เขตตรวจราชการ,หมายเหตุ
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,อัตราเดิม,,,,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,อัตราใหม่,,,,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,เงินประจำตำแหน่ง,เงินประจำตำแหน่ง (บริหารและอำนวยการ),,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,เงินประจำตำแหน่ง,เงินประจำตำแหน่ง (วิชาการ),,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,เงินประจำตำแหน่ง,เงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ (วช) /เชี่ยวชาญเฉพาะ (ชช.),เงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ ตำแหน่งนักวิชาการคอมพิวเตอร์,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,เงินประจำตำแหน่ง,เงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ (วช) /เชี่ยวชาญเฉพาะ (ชช.),เงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ ตำแหน่งวิศวกร/สถาปนิก,กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,ค่าตอบแทนรายเดือนสำหรับข้าราชการ,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง (บริหารและอำนวยการ),กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,ค่าตอบแทนรายเดือนสำหรับข้าราชการ,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง (วิชาการ),กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,ค่าตอบแทนรายเดือนสำหรับข้าราชการ,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ (วช) /เชี่ยวชาญเฉพาะ (ชช.),กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
2569,งบประมาณรายจ่ายบุคลากร,แผนงานบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร ,เงินเดือนและค่าจ้างประจำ,เงินเดือน,เงินอื่นที่จ่ายควบกับเงินเดือน,ค่าตอบแทนรายเดือนสำหรับข้าราชการ,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่ง,ค่าตอบแทนรายเดือนเท่ากับเงินประจำตำแหน่งประเภทวิชาชีพเฉพาะ (วช) /เชี่ยวชาญเฉพาะ (ชช.),กระทรวงยุติธรรม,สำนักงานปลัดกระทรวงยุติธรรม,กองบริหารทรัพยากรบุคคล,กลุ่มงานระบบข้อมูลบุคคล ค่าตอบแทนและบำเหน็จความชอบ,กรุงเทพมหานคร,ส่วนกลาง,,,,
